"編號","大類","部位","名稱","五行","取得管道","裝備等級","四維模板","主屬性","特效","特效效果（紫色；橙×1.5、白金×2）","套裝"
"盔甲-08","防具","盔甲","冰魄戰甲","水","可製作・修真宗門","Lv200～500","均衡","減傷（×1.5）","護體","氣血低於 30% 時減傷 +8%",""
"盔甲-09","防具","盔甲","流火鎧","火","可製作・修真宗門","Lv200～500","厚重","減傷（×1.5）","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"盔甲-10","防具","盔甲","山河甲","土","可製作・修真宗門","Lv200～500","剛柔","減傷（×1.5）","回春","每回合回復 1% 氣血",""
"盔甲-11","防具","盔甲","誅邪戰甲","金","可製作・至高宗門","Lv700～1000","法體","減傷（×1.5）","回靈","每回合回復 1.5% 靈力",""
"盔甲-12","防具","盔甲","青帝鎧","木","可製作・至高宗門","Lv700～1000","均衡","減傷（×1.5）","定神","被凍結機率 -15%",""
"盔甲-13","防具","盔甲","天河甲","水","可製作・至高宗門","Lv700～1000","厚重","減傷（×1.5）","閃擊","閃避後反擊一次 ×0.8",""
"盔甲-14","防具","盔甲","朱雀戰甲","火","可製作・至高宗門","Lv700～1000","剛柔","減傷（×1.5）","金身","受到物理傷害 -6%",""
"盔甲-15","防具","盔甲","崑崙鎧","土","可製作・至高宗門","Lv700～1000","法體","減傷（×1.5）","化勁","受到術法傷害 -6%",""
"盔甲-16","防具","盔甲","鬼哭甲","金","外界・奪寶","依人物等級","均衡","減傷（×1.5）","延壽","戰死折壽 -10%",""
"盔甲-17","防具","盔甲","鬼藤戰甲","木","外界・奪寶","依人物等級","厚重","減傷（×1.5）","丹心","丹藥回復量 +15%",""
"盔甲-18","防具","盔甲","冥河鎧","水","外界・奪寶","依人物等級","剛柔","減傷（×1.5）","反震","受擊反彈 8% 傷害",""
"盔甲-19","防具","盔甲","焚魂甲","火","外界・奪寶","依人物等級","法體","減傷（×1.5）","護體","氣血低於 30% 時減傷 +8%",""
"盔甲-20","防具","盔甲","墳土戰甲","土","外界・奪寶","依人物等級","均衡","減傷（×1.5）","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"盔甲-21","防具","盔甲","珍瓏鎧","金","外界・拍賣","依人物等級","厚重","減傷（×1.5）","回春","每回合回復 1% 氣血",""
"盔甲-22","防具","盔甲","紫檀甲","木","外界・拍賣","依人物等級","剛柔","減傷（×1.5）","回靈","每回合回復 1.5% 靈力",""
"盔甲-23","防具","盔甲","冰玉戰甲","水","外界・拍賣","依人物等級","法體","減傷（×1.5）","定神","被凍結機率 -15%",""
"盔甲-24","防具","盔甲","赤玉鎧","火","外界・拍賣","依人物等級","均衡","減傷（×1.5）","閃擊","閃避後反擊一次 ×0.8",""
"盔甲-25","防具","盔甲","玳瑁甲","土","外界・拍賣","依人物等級","厚重","減傷（×1.5）","金身","受到物理傷害 -6%",""
"盔甲-26","防具","盔甲","太乙戰甲","金","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","化勁","受到術法傷害 -6%","太乙（物攻）"
"盔甲-27","防具","盔甲","蒼龍鎧","木","外界・秘境","依秘境層級","法體","減傷（×1.5）","延壽","戰死折壽 -10%","蒼龍（物攻）"
"盔甲-28","防具","盔甲","真武甲","水","外界・秘境","依秘境層級","均衡","減傷（×1.5）","丹心","丹藥回復量 +15%","真武（物攻）"
"盔甲-29","防具","盔甲","祝融戰甲","火","外界・秘境","依秘境層級","厚重","減傷（×1.5）","反震","受擊反彈 8% 傷害","祝融（物攻）"
"盔甲-30","防具","盔甲","盤古鎧","土","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","護體","氣血低於 30% 時減傷 +8%","盤古（物攻）"
"盔甲-31","防具","盔甲","白帝甲","金","外界・秘境","依秘境層級","法體","減傷（×1.5）","先手盾","每波戰鬥前 2 回合減傷 +10%","白帝（防禦）"
"盔甲-32","防具","盔甲","句芒戰甲","木","外界・秘境","依秘境層級","均衡","減傷（×1.5）","回春","每回合回復 1% 氣血","句芒（防禦）"
"盔甲-33","防具","盔甲","玄天鎧","水","外界・秘境","依秘境層級","厚重","減傷（×1.5）","回靈","每回合回復 1.5% 靈力","玄天（防禦）"
"盔甲-34","防具","盔甲","炎帝甲","火","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","定神","被凍結機率 -15%","炎帝（防禦）"
"盔甲-35","防具","盔甲","軒轅戰甲","土","外界・秘境","依秘境層級","法體","減傷（×1.5）","閃擊","閃避後反擊一次 ×0.8","軒轅（防禦）"
"盔甲-36","防具","盔甲","西極鎧","金","外界・秘境","依秘境層級","均衡","減傷（×1.5）","金身","受到物理傷害 -6%",""
"盔甲-37","防具","盔甲","天刑甲","金","外界・秘境","依秘境層級","厚重","減傷（×1.5）","化勁","受到術法傷害 -6%",""
"盔甲-38","防具","盔甲","無量戰甲","金","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","延壽","戰死折壽 -10%",""
"盔甲-39","防具","盔甲","九嶷鎧","木","外界・秘境","依秘境層級","法體","減傷（×1.5）","丹心","丹藥回復量 +15%",""
"盔甲-40","防具","盔甲","瀛洲甲","木","外界・秘境","依秘境層級","均衡","減傷（×1.5）","反震","受擊反彈 8% 傷害",""
"盔甲-41","防具","盔甲","方丈戰甲","木","外界・秘境","依秘境層級","厚重","減傷（×1.5）","護體","氣血低於 30% 時減傷 +8%",""
"盔甲-42","防具","盔甲","天潢鎧","水","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"盔甲-43","防具","盔甲","太虛甲","水","外界・秘境","依秘境層級","法體","減傷（×1.5）","回春","每回合回復 1% 氣血",""
"盔甲-44","防具","盔甲","靈霄戰甲","水","外界・秘境","依秘境層級","均衡","減傷（×1.5）","回靈","每回合回復 1.5% 靈力",""
"盔甲-45","防具","盔甲","鳳凰鎧","火","外界・秘境","依秘境層級","厚重","減傷（×1.5）","定神","被凍結機率 -15%",""
"盔甲-46","防具","盔甲","陽燧甲","火","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","閃擊","閃避後反擊一次 ×0.8",""
"盔甲-47","防具","盔甲","離明戰甲","火","外界・秘境","依秘境層級","法體","減傷（×1.5）","金身","受到物理傷害 -6%",""
"盔甲-48","防具","盔甲","玄穹鎧","土","外界・秘境","依秘境層級","均衡","減傷（×1.5）","化勁","受到術法傷害 -6%",""
"盔甲-49","防具","盔甲","中州甲","土","外界・秘境","依秘境層級","厚重","減傷（×1.5）","延壽","戰死折壽 -10%",""
"盔甲-50","防具","盔甲","大荒戰甲","土","外界・秘境","依秘境層級","剛柔","減傷（×1.5）","丹心","丹藥回復量 +15%",""
"手套-01","防具","手套","白銅護手","金","可製作・凡俗宗門","Lv10～100","剛柔","減傷","金身","受到物理傷害 -6%",""
"手套-02","防具","手套","青藤手套","木","可製作・凡俗宗門","Lv10～100","剛猛","減傷","化勁","受到術法傷害 -6%",""
"手套-03","防具","手套","碧波指套","水","可製作・凡俗宗門","Lv10～100","厚重","減傷","延壽","戰死折壽 -10%",""
"手套-04","防具","手套","丹霞護手","火","可製作・凡俗宗門","Lv10～100","均衡","減傷","丹心","丹藥回復量 +15%",""
"手套-05","防具","手套","山紋手套","土","可製作・凡俗宗門","Lv10～100","剛柔","減傷","反震","受擊反彈 8% 傷害",""
"手套-06","防具","手套","流光指套","金","可製作・修真宗門","Lv200～500","剛猛","減傷","護體","氣血低於 30% 時減傷 +8%",""
"手套-07","防具","手套","蒼松護手","木","可製作・修真宗門","Lv200～500","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"手套-08","防具","手套","滄浪手套","水","可製作・修真宗門","Lv200～500","均衡","減傷","回春","每回合回復 1% 氣血",""
"手套-09","防具","手套","炎陽指套","火","可製作・修真宗門","Lv200～500","剛柔","減傷","回靈","每回合回復 1.5% 靈力",""
"手套-10","防具","手套","磐石護手","土","可製作・修真宗門","Lv200～500","剛猛","減傷","定神","被凍結機率 -15%",""
"手套-11","防具","手套","金闕手套","金","可製作・至高宗門","Lv700～1000","厚重","減傷","閃擊","閃避後反擊一次 ×0.8",""
"手套-12","防具","手套","萬木指套","木","可製作・至高宗門","Lv700～1000","均衡","減傷","金身","受到物理傷害 -6%",""
"手套-13","防具","手套","弱水護手","水","可製作・至高宗門","Lv700～1000","剛柔","減傷","化勁","受到術法傷害 -6%",""
"手套-14","防具","手套","九陽手套","火","可製作・至高宗門","Lv700～1000","剛猛","減傷","延壽","戰死折壽 -10%",""
"手套-15","防具","手套","不周指套","土","可製作・至高宗門","Lv700～1000","厚重","減傷","丹心","丹藥回復量 +15%",""
"手套-16","防具","手套","修羅護手","金","外界・奪寶","依人物等級","均衡","減傷","反震","受擊反彈 8% 傷害",""
"手套-17","防具","手套","血藤手套","木","外界・奪寶","依人物等級","剛柔","減傷","護體","氣血低於 30% 時減傷 +8%",""
"手套-18","防具","手套","陰煞指套","水","外界・奪寶","依人物等級","剛猛","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"手套-19","防具","手套","煉獄護手","火","外界・奪寶","依人物等級","厚重","減傷","回春","每回合回復 1% 氣血",""
"手套-20","防具","手套","骷髏手套","土","外界・奪寶","依人物等級","均衡","減傷","回靈","每回合回復 1.5% 靈力",""
"手套-21","防具","手套","紫金指套","金","外界・拍賣","依人物等級","剛柔","減傷","定神","被凍結機率 -15%",""
"手套-22","防具","手套","檀香護手","木","外界・拍賣","依人物等級","剛猛","減傷","閃擊","閃避後反擊一次 ×0.8",""
"手套-23","防具","手套","月華手套","水","外界・拍賣","依人物等級","厚重","減傷","金身","受到物理傷害 -6%",""
"手套-24","防具","手套","霞光指套","火","外界・拍賣","依人物等級","均衡","減傷","化勁","受到術法傷害 -6%",""
"手套-25","防具","手套","墨玉護手","土","外界・拍賣","依人物等級","剛柔","減傷","延壽","戰死折壽 -10%",""
"手套-26","防具","手套","太乙手套","金","外界・秘境","依秘境層級","剛猛","減傷","丹心","丹藥回復量 +15%","太乙（物攻）"
"手套-27","防具","手套","蒼龍指套","木","外界・秘境","依秘境層級","厚重","減傷","反震","受擊反彈 8% 傷害","蒼龍（物攻）"
"手套-28","防具","手套","真武護手","水","外界・秘境","依秘境層級","均衡","減傷","護體","氣血低於 30% 時減傷 +8%","真武（物攻）"
"手套-29","防具","手套","祝融手套","火","外界・秘境","依秘境層級","剛柔","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%","祝融（物攻）"
"手套-30","防具","手套","盤古指套","土","外界・秘境","依秘境層級","剛猛","減傷","回春","每回合回復 1% 氣血","盤古（物攻）"
"手套-31","防具","手套","天樞護手","金","外界・秘境","依秘境層級","厚重","減傷","回靈","每回合回復 1.5% 靈力","天樞（閃避）"
"手套-32","防具","手套","瑤光手套","木","外界・秘境","依秘境層級","均衡","減傷","定神","被凍結機率 -15%","瑤光（閃避）"
"手套-33","防具","手套","洛神指套","水","外界・秘境","依秘境層級","剛柔","減傷","閃擊","閃避後反擊一次 ×0.8","洛神（閃避）"
"手套-34","防具","手套","畢方護手","火","外界・秘境","依秘境層級","剛猛","減傷","金身","受到物理傷害 -6%","畢方（閃避）"
"手套-35","防具","手套","須彌手套","土","外界・秘境","依秘境層級","厚重","減傷","化勁","受到術法傷害 -6%","須彌（閃避）"
"手套-36","防具","手套","九霄指套","金","外界・秘境","依秘境層級","均衡","減傷","延壽","戰死折壽 -10%",""
"手套-37","防具","手套","太初護手","金","外界・秘境","依秘境層級","剛柔","減傷","丹心","丹藥回復量 +15%",""
"手套-38","防具","手套","開天手套","金","外界・秘境","依秘境層級","剛猛","減傷","反震","受擊反彈 8% 傷害",""
"手套-39","防具","手套","花神指套","木","外界・秘境","依秘境層級","厚重","減傷","護體","氣血低於 30% 時減傷 +8%",""
"手套-40","防具","手套","鴻蒙護手","木","外界・秘境","依秘境層級","均衡","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"手套-41","防具","手套","青冥手套","木","外界・秘境","依秘境層級","剛柔","減傷","回春","每回合回復 1% 氣血",""
"手套-42","防具","手套","碧海指套","水","外界・秘境","依秘境層級","剛猛","減傷","回靈","每回合回復 1.5% 靈力",""
"手套-43","防具","手套","北斗護手","水","外界・秘境","依秘境層級","厚重","減傷","定神","被凍結機率 -15%",""
"手套-44","防具","手套","寒淵手套","水","外界・秘境","依秘境層級","均衡","減傷","閃擊","閃避後反擊一次 ×0.8",""
"手套-45","防具","手套","熒惑指套","火","外界・秘境","依秘境層級","剛柔","減傷","金身","受到物理傷害 -6%",""
"手套-46","防具","手套","燭龍護手","火","外界・秘境","依秘境層級","剛猛","減傷","化勁","受到術法傷害 -6%",""
"手套-47","防具","手套","赤帝手套","火","外界・秘境","依秘境層級","厚重","減傷","延壽","戰死折壽 -10%",""
"手套-48","防具","手套","崆峒指套","土","外界・秘境","依秘境層級","均衡","減傷","丹心","丹藥回復量 +15%",""
"手套-49","防具","手套","坤輿護手","土","外界・秘境","依秘境層級","剛柔","減傷","反震","受擊反彈 8% 傷害",""
"手套-50","防具","手套","泰山手套","土","外界・秘境","依秘境層級","剛猛","減傷","護體","氣血低於 30% 時減傷 +8%",""
"長靴-01","防具","長靴","銀紋靴","金","可製作・凡俗宗門","Lv10～100","靈動","減傷","延壽","戰死折壽 -10%",""
"長靴-02","防具","長靴","柳葉履","木","可製作・凡俗宗門","Lv10～100","厚重","減傷","丹心","丹藥回復量 +15%",""
"長靴-03","防具","長靴","霜紋靴","水","可製作・凡俗宗門","Lv10～100","均衡","減傷","反震","受擊反彈 8% 傷害",""
"長靴-04","防具","長靴","火紋履","火","可製作・凡俗宗門","Lv10～100","剛柔","減傷","護體","氣血低於 30% 時減傷 +8%",""
"長靴-05","防具","長靴","岩骨靴","土","可製作・凡俗宗門","Lv10～100","靈動","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"長靴-06","防具","長靴","金蟬履","金","可製作・修真宗門","Lv200～500","厚重","減傷","回春","每回合回復 1% 氣血",""
"長靴-07","防具","長靴","翠微靴","木","可製作・修真宗門","Lv200～500","均衡","減傷","回靈","每回合回復 1.5% 靈力",""
"長靴-08","防具","長靴","玄冰履","水","可製作・修真宗門","Lv200～500","剛柔","減傷","定神","被凍結機率 -15%",""
"長靴-09","防具","長靴","火鳳靴","火","可製作・修真宗門","Lv200～500","靈動","減傷","閃擊","閃避後反擊一次 ×0.8",""
"長靴-10","防具","長靴","坤元履","土","可製作・修真宗門","Lv200～500","厚重","減傷","金身","受到物理傷害 -6%",""
"長靴-11","防具","長靴","斬仙靴","金","可製作・至高宗門","Lv700～1000","均衡","減傷","化勁","受到術法傷害 -6%",""
"長靴-12","防具","長靴","乙木履","木","可製作・至高宗門","Lv700～1000","剛柔","減傷","延壽","戰死折壽 -10%",""
"長靴-13","防具","長靴","滄溟靴","水","可製作・至高宗門","Lv700～1000","靈動","減傷","丹心","丹藥回復量 +15%",""
"長靴-14","防具","長靴","太陽履","火","可製作・至高宗門","Lv700～1000","厚重","減傷","反震","受擊反彈 8% 傷害",""
"長靴-15","防具","長靴","息壤靴","土","可製作・至高宗門","Lv700～1000","均衡","減傷","護體","氣血低於 30% 時減傷 +8%",""
"長靴-16","防具","長靴","追魂履","金","外界・奪寶","依人物等級","剛柔","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"長靴-17","防具","長靴","腐骨靴","木","外界・奪寶","依人物等級","靈動","減傷","回春","每回合回復 1% 氣血",""
"長靴-18","防具","長靴","寒屍履","水","外界・奪寶","依人物等級","厚重","減傷","回靈","每回合回復 1.5% 靈力",""
"長靴-19","防具","長靴","赤魔靴","火","外界・奪寶","依人物等級","均衡","減傷","定神","被凍結機率 -15%",""
"長靴-20","防具","長靴","魔岩履","土","外界・奪寶","依人物等級","剛柔","減傷","閃擊","閃避後反擊一次 ×0.8",""
"長靴-21","防具","長靴","金縷靴","金","外界・拍賣","依人物等級","靈動","減傷","金身","受到物理傷害 -6%",""
"長靴-22","防具","長靴","碧玉履","木","外界・拍賣","依人物等級","厚重","減傷","化勁","受到術法傷害 -6%",""
"長靴-23","防具","長靴","鮫綃靴","水","外界・拍賣","依人物等級","均衡","減傷","延壽","戰死折壽 -10%",""
"長靴-24","防具","長靴","琥珀履","火","外界・拍賣","依人物等級","剛柔","減傷","丹心","丹藥回復量 +15%",""
"長靴-25","防具","長靴","田黃靴","土","外界・拍賣","依人物等級","靈動","減傷","反震","受擊反彈 8% 傷害",""
"長靴-26","防具","長靴","白帝履","金","外界・秘境","依秘境層級","厚重","減傷","護體","氣血低於 30% 時減傷 +8%","白帝（防禦）"
"長靴-27","防具","長靴","句芒靴","木","外界・秘境","依秘境層級","均衡","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%","句芒（防禦）"
"長靴-28","防具","長靴","玄天履","水","外界・秘境","依秘境層級","剛柔","減傷","回春","每回合回復 1% 氣血","玄天（防禦）"
"長靴-29","防具","長靴","炎帝靴","火","外界・秘境","依秘境層級","靈動","減傷","回靈","每回合回復 1.5% 靈力","炎帝（防禦）"
"長靴-30","防具","長靴","軒轅履","土","外界・秘境","依秘境層級","厚重","減傷","定神","被凍結機率 -15%","軒轅（防禦）"
"長靴-31","防具","長靴","天樞靴","金","外界・秘境","依秘境層級","均衡","減傷","閃擊","閃避後反擊一次 ×0.8","天樞（閃避）"
"長靴-32","防具","長靴","瑤光履","木","外界・秘境","依秘境層級","剛柔","減傷","金身","受到物理傷害 -6%","瑤光（閃避）"
"長靴-33","防具","長靴","洛神靴","水","外界・秘境","依秘境層級","靈動","減傷","化勁","受到術法傷害 -6%","洛神（閃避）"
"長靴-34","防具","長靴","畢方履","火","外界・秘境","依秘境層級","厚重","減傷","延壽","戰死折壽 -10%","畢方（閃避）"
"長靴-35","防具","長靴","須彌靴","土","外界・秘境","依秘境層級","均衡","減傷","丹心","丹藥回復量 +15%","須彌（閃避）"
"長靴-36","防具","長靴","陷仙履","金","外界・秘境","依秘境層級","剛柔","減傷","反震","受擊反彈 8% 傷害",""
"長靴-37","防具","長靴","絕仙靴","金","外界・秘境","依秘境層級","靈動","減傷","護體","氣血低於 30% 時減傷 +8%",""
"長靴-38","防具","長靴","紫霄履","金","外界・秘境","依秘境層級","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"長靴-39","防具","長靴","東皇靴","木","外界・秘境","依秘境層級","均衡","減傷","回春","每回合回復 1% 氣血",""
"長靴-40","防具","長靴","木德履","木","外界・秘境","依秘境層級","剛柔","減傷","回靈","每回合回復 1.5% 靈力",""
"長靴-41","防具","長靴","生生靴","木","外界・秘境","依秘境層級","靈動","減傷","定神","被凍結機率 -15%",""
"長靴-42","防具","長靴","共工履","水","外界・秘境","依秘境層級","厚重","減傷","閃擊","閃避後反擊一次 ×0.8",""
"長靴-43","防具","長靴","天一靴","水","外界・秘境","依秘境層級","均衡","減傷","金身","受到物理傷害 -6%",""
"長靴-44","防具","長靴","冰皇履","水","外界・秘境","依秘境層級","剛柔","減傷","化勁","受到術法傷害 -6%",""
"長靴-45","防具","長靴","九鳳靴","火","外界・秘境","依秘境層級","靈動","減傷","延壽","戰死折壽 -10%",""
"長靴-46","防具","長靴","天火履","火","外界・秘境","依秘境層級","厚重","減傷","丹心","丹藥回復量 +15%",""
"長靴-47","防具","長靴","熾天靴","火","外界・秘境","依秘境層級","均衡","減傷","反震","受擊反彈 8% 傷害",""
"長靴-48","防具","長靴","地藏履","土","外界・秘境","依秘境層級","剛柔","減傷","護體","氣血低於 30% 時減傷 +8%",""
"長靴-49","防具","長靴","厚德靴","土","外界・秘境","依秘境層級","靈動","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"長靴-50","防具","長靴","乾坤履","土","外界・秘境","依秘境層級","厚重","減傷","回春","每回合回復 1% 氣血",""
"披風-01","防具","披風","鎏銀披風","金","可製作・凡俗宗門","Lv10～100","法體","減傷","反震","受擊反彈 8% 傷害",""
"披風-02","防具","披風","棗木斗篷","木","可製作・凡俗宗門","Lv10～100","靈動","減傷","護體","氣血低於 30% 時減傷 +8%",""
"披風-03","防具","披風","淡月羽衣","水","可製作・凡俗宗門","Lv10～100","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"披風-04","防具","披風","朱漆披風","火","可製作・凡俗宗門","Lv10～100","雅致","減傷","回春","每回合回復 1% 氣血",""
"披風-05","防具","披風","黃沙斗篷","土","可製作・凡俗宗門","Lv10～100","法體","減傷","回靈","每回合回復 1.5% 靈力",""
"披風-06","防具","披風","白虹羽衣","金","可製作・修真宗門","Lv200～500","靈動","減傷","定神","被凍結機率 -15%",""
"披風-07","防具","披風","靈藤披風","木","可製作・修真宗門","Lv200～500","厚重","減傷","閃擊","閃避後反擊一次 ×0.8",""
"披風-08","防具","披風","凌波斗篷","水","可製作・修真宗門","Lv200～500","雅致","減傷","金身","受到物理傷害 -6%",""
"披風-09","防具","披風","紫焰羽衣","火","可製作・修真宗門","Lv200～500","法體","減傷","化勁","受到術法傷害 -6%",""
"披風-10","防具","披風","岳峙披風","土","可製作・修真宗門","Lv200～500","靈動","減傷","延壽","戰死折壽 -10%",""
"披風-11","防具","披風","裂空斗篷","金","可製作・至高宗門","Lv700～1000","厚重","減傷","丹心","丹藥回復量 +15%",""
"披風-12","防具","披風","長生羽衣","木","可製作・至高宗門","Lv700～1000","雅致","減傷","反震","受擊反彈 8% 傷害",""
"披風-13","防具","披風","癸水披風","水","可製作・至高宗門","Lv700～1000","法體","減傷","護體","氣血低於 30% 時減傷 +8%",""
"披風-14","防具","披風","丙火斗篷","火","可製作・至高宗門","Lv700～1000","靈動","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"披風-15","防具","披風","玄武羽衣","土","可製作・至高宗門","Lv700～1000","厚重","減傷","回春","每回合回復 1% 氣血",""
"披風-16","防具","披風","殺生披風","金","外界・奪寶","依人物等級","雅致","減傷","回靈","每回合回復 1.5% 靈力",""
"披風-17","防具","披風","屍木斗篷","木","外界・奪寶","依人物等級","法體","減傷","定神","被凍結機率 -15%",""
"披風-18","防具","披風","鬼霧羽衣","水","外界・奪寶","依人物等級","靈動","減傷","閃擊","閃避後反擊一次 ×0.8",""
"披風-19","防具","披風","業火披風","火","外界・奪寶","依人物等級","厚重","減傷","金身","受到物理傷害 -6%",""
"披風-20","防具","披風","黑沙斗篷","土","外界・奪寶","依人物等級","雅致","減傷","化勁","受到術法傷害 -6%",""
"披風-21","防具","披風","玲瓏羽衣","金","外界・拍賣","依人物等級","法體","減傷","延壽","戰死折壽 -10%",""
"披風-22","防具","披風","蘭亭披風","木","外界・拍賣","依人物等級","靈動","減傷","丹心","丹藥回復量 +15%",""
"披風-23","防具","披風","明珠斗篷","水","外界・拍賣","依人物等級","厚重","減傷","反震","受擊反彈 8% 傷害",""
"披風-24","防具","披風","丹鳳羽衣","火","外界・拍賣","依人物等級","雅致","減傷","護體","氣血低於 30% 時減傷 +8%",""
"披風-25","防具","披風","雲錦披風","土","外界・拍賣","依人物等級","法體","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"披風-26","防具","披風","神霄斗篷","金","外界・秘境","依秘境層級","靈動","減傷","回春","每回合回復 1% 氣血","神霄（法攻）"
"披風-27","防具","披風","太昊羽衣","木","外界・秘境","依秘境層級","厚重","減傷","回靈","每回合回復 1.5% 靈力","太昊（法攻）"
"披風-28","防具","披風","玄女披風","水","外界・秘境","依秘境層級","雅致","減傷","定神","被凍結機率 -15%","玄女（法攻）"
"披風-29","防具","披風","羲和斗篷","火","外界・秘境","依秘境層級","法體","減傷","閃擊","閃避後反擊一次 ×0.8","羲和（法攻）"
"披風-30","防具","披風","黃庭羽衣","土","外界・秘境","依秘境層級","靈動","減傷","金身","受到物理傷害 -6%","黃庭（法攻）"
"披風-31","防具","披風","天樞披風","金","外界・秘境","依秘境層級","厚重","減傷","化勁","受到術法傷害 -6%","天樞（閃避）"
"披風-32","防具","披風","瑤光斗篷","木","外界・秘境","依秘境層級","雅致","減傷","延壽","戰死折壽 -10%","瑤光（閃避）"
"披風-33","防具","披風","洛神羽衣","水","外界・秘境","依秘境層級","法體","減傷","丹心","丹藥回復量 +15%","洛神（閃避）"
"披風-34","防具","披風","畢方披風","火","外界・秘境","依秘境層級","靈動","減傷","反震","受擊反彈 8% 傷害","畢方（閃避）"
"披風-35","防具","披風","須彌斗篷","土","外界・秘境","依秘境層級","厚重","減傷","護體","氣血低於 30% 時減傷 +8%","須彌（閃避）"
"披風-36","防具","披風","風雷翅","金","外界・秘境","依秘境層級","雅致","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"披風-37","防具","披風","破虛披風","金","外界・秘境","依秘境層級","法體","減傷","回春","每回合回復 1% 氣血",""
"披風-38","防具","披風","斷界斗篷","金","外界・秘境","依秘境層級","靈動","減傷","回靈","每回合回復 1.5% 靈力",""
"披風-39","防具","披風","萬靈羽衣","木","外界・秘境","依秘境層級","厚重","減傷","定神","被凍結機率 -15%",""
"披風-40","防具","披風","青虛披風","木","外界・秘境","依秘境層級","雅致","減傷","閃擊","閃避後反擊一次 ×0.8",""
"披風-41","防具","披風","靈樞斗篷","木","外界・秘境","依秘境層級","法體","減傷","金身","受到物理傷害 -6%",""
"披風-42","防具","披風","雪域羽衣","水","外界・秘境","依秘境層級","靈動","減傷","化勁","受到術法傷害 -6%",""
"披風-43","防具","披風","龍宮披風","水","外界・秘境","依秘境層級","厚重","減傷","延壽","戰死折壽 -10%",""
"披風-44","防具","披風","四海斗篷","水","外界・秘境","依秘境層級","雅致","減傷","丹心","丹藥回復量 +15%",""
"披風-45","防具","披風","丹陽羽衣","火","外界・秘境","依秘境層級","法體","減傷","反震","受擊反彈 8% 傷害",""
"披風-46","防具","披風","火德披風","火","外界・秘境","依秘境層級","靈動","減傷","護體","氣血低於 30% 時減傷 +8%",""
"披風-47","防具","披風","赤明斗篷","火","外界・秘境","依秘境層級","厚重","減傷","先手盾","每波戰鬥前 2 回合減傷 +10%",""
"披風-48","防具","披風","太嶽羽衣","土","外界・秘境","依秘境層級","雅致","減傷","回春","每回合回復 1% 氣血",""
"披風-49","防具","披風","八荒披風","土","外界・秘境","依秘境層級","法體","減傷","回靈","每回合回復 1.5% 靈力",""
"披風-50","防具","披風","洪荒斗篷","土","外界・秘境","依秘境層級","靈動","減傷","定神","被凍結機率 -15%",""
"腰帶-01","飾品","腰帶","精鋼腰帶","金","可製作・凡俗宗門","Lv10～100","厚重","閃避","剋敵","五行剋制時傷害再 +8%",""
"腰帶-02","飾品","腰帶","松紋束帶","木","可製作・凡俗宗門","Lv10～100","均衡","閃避","閃擊","閃避後反擊一次 ×0.8",""
"腰帶-03","飾品","腰帶","寒鐵腰帶","水","可製作・凡俗宗門","Lv10～100","剛柔","閃避","定神","被凍結機率 -15%",""
"腰帶-04","飾品","腰帶","赤銅束帶","火","可製作・凡俗宗門","Lv10～100","法體","閃避","回春","每回合回復 1% 氣血",""
"腰帶-05","飾品","腰帶","黃楊腰帶","土","可製作・凡俗宗門","Lv10～100","靈動","閃避","聚財","靈石獲得 +3%",""
"腰帶-06","飾品","腰帶","庚金束帶","金","可製作・修真宗門","Lv200～500","剛猛","閃避","悟道","修為獲得 +2%",""
"腰帶-07","飾品","腰帶","青元腰帶","木","可製作・修真宗門","Lv200～500","玄妙","閃避","積德","功德獲得 +5%",""
"腰帶-08","飾品","腰帶","寒魄束帶","水","可製作・修真宗門","Lv200～500","雅致","閃避","奪寶","裝備掉落率 +10%（相對值）",""
"腰帶-09","飾品","腰帶","赤霄腰帶","火","可製作・修真宗門","Lv200～500","厚重","閃避","尋鐵","星允鐵獲得 +10%",""
"腰帶-10","飾品","腰帶","鎮岳束帶","土","可製作・修真宗門","Lv200～500","均衡","閃避","役使","僕從任務速度 +5%",""
